company,annual_report,400_owners_index,sustainable_development_present,responsible_investment_esg_present,green_growth_present,net_zero_present,decarbonization_present,transition_finance_present,conservation_finance_present,lang_report,country,assets
Norges Bank Investment Management,Norges-Bank-Annual-Report-2023,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Norway,1238
ABP/APG,ABP-Annual-Report-2023,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Dutch,Netherlands,584
PGGM/PFZW,PGGM-Annual-Report-2023,3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Netherlands,257
Turkey Wealth Fund,TWF-Annual-Report-2022,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Turkey,171
Caisse des Dépôts,Caisse-Annual-Report-2023,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,English,France,166
MN,MN-Annual-Report-2023,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Dutch,Netherlands,152
Kommunal Landspensjonskasse (KLP),KLP-Annual-Report-2023,7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,English,Norway,135
Bayerische Versorgungskammer (BVK),BVK-Annual-Report-2023,8,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,English,Germany,120
Covéa,Covea-Annual-Report-2022,9,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,English,France,118
Alecta,Alecta-annual-and-sustainability-report-2023,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Sweden,113
Swedish Fund Selection Agency,FTN-Procurement-Report-2024,11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Sweden,108
Shell Asset Management Company,NA,12,,,,,,,,NA,Netherlands,104
ATP,ATP-Annual-Report-2023,13,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,English,Denmark,102
Universities Superannuation Scheme,USS-Report-and-Accounts-2023,14,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,English,UK,95
AP Fonden 7,ap7-annual-and-sustainability-report-2023,15,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,Sweden,88
European Investment Bank,NA,16,,,,,,,,NA,Luxembourg,87
PFA Pension,NA,17,,,,,,,,NA,Denmark,87
PMT,243399-pmt-jv2023-v234-pdfa,18,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dutch,Netherlands,85
AGIRC ARRCO,AGIRC-ARRCO-Rapport-Gestion-2023-pages-simples,19,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,French,France,76
Border to Coast Pensions Partnership,Border-to-Coast-Annual-Report-22_23,20,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,English,UK,76
Nordea Life & Pension,annual-report-nordea-bank-abp-2023,21,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Finland,75
Ilmarinen,annual_and_sustainability_report_2023,22,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Finland,74
AMF Pension,amf_annual_report_and_sustainability_report_2023,23,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,Sweden,71
bpfBouw,bpfBouw-Annual-Report-2023,24,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Dutch,Netherlands,70
KEVA,Keva-Annual-Report-2023,25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Finland,69
PensionDanmark,PensionDanmark-Annual-Report-2023,26,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,English,Denmark,69
Swiss Federal Pension Fund PUBLICA,Publica-Annual-Report-2023,27,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,Switzerland,68
AP Fonden 3,AP-Fonden-3-Annual-Report-2023,28,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,English,Sweden,67
Danica Pension,Danica-Pension-Annual-Report-2023,29,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,English,Denmark,67
Länsförsäkringar,Lansforsakringar-Alliance-Annual-Report-2023,30,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,English,Sweden,66
Railpen Investments ,Railpen-Annual-Report-2023,31,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,UK,65
AP Fonden 1,AP-Fonden-1-Annual-Report-2023,32,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,English,Sweden,64
Fonds de compensation AVS,Compenswiss-Annual-Report-2023,33,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,French,Switzerland,64
Electricity Supply Pension Scheme,Electricty-Supply-Pension-Annual-Report-2023,34,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,English,UK,63
ERAFP,ERAPF-Annual-Report-2022,35,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,France,63
Suva,Suva-Annual-Report-2023,36,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,English,Switzerland,63
Varma,Varma-Annual-Report-2023,37,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,English,Finland,63
Versorgungsanstalt des Bundes und der Länder (VBL),VBL-Annual-Report-2022,38,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,German,Germany,63
Sampension,Sampension-2023,39,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,English,Denmark,60
